Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,Flyball%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,batted ball,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,xBA,xSLG,xwOBA,Clutch,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,wFB,wSL,wCT,wCB,wCH,wSF,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,fastball%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,Batting,Base Running,Fielding,WAR,Salary
Aaron Hicks,BAL,93.0,269.0,312.0,68.0,50.0,9.0,1.0,8.0,44.0,36.0,42.0,1.0,69.0,0.0,1.0,0.0,3.0,6.0,0.0,0.25,0.14,0.22,0.61,0.35,0.38,0.74,0.13,5.2,0.31,2.5,0.2,0.5,40.0,2.0,0.33,109.0,1.18,0.15,0.46,0.39,0.14,0.103,7.0,0.08,0.0,0.0,0.4579999999999999,0.31,0.2339999999999999,0.24,0.53,0.2339999999999999,201.0,85.3,106.7,12.6,8.0,0.04,59.0,0.29,0.21,0.3,0.28,0.23,0.25,0.61,0.4,0.62,0.87,0.78,0.417,0.5870000000000001,0.09,0.2,0.28,4.2,-0.7,0.4,1.3,-1.7,-1.0,0.78,-0.29,0.35,0.7,-0.73,-1.61,0.3979999999999999,94.2,0.17,84.3,0.08,89.4,0.13,80.3,0.18,86.1,0.044,86.3,3.5,3.2,-4.8,1.0,720000
Aaron Judge,NYY,106.0,367.0,458.0,98.0,45.0,16.0,0.0,37.0,79.0,75.0,88.0,9.0,130.0,0.0,3.0,0.0,5.0,3.0,1.0,0.27,0.19,0.28,0.68,0.41,0.61,1.02,0.35,2.6,0.3,0.3,1.5,-0.8,95.0,38.8,0.42,174.0,0.61,0.2,0.3,0.5,0.07,0.31,4.0,0.06,0.0,0.0,0.45,0.34,0.208,0.08,0.3829999999999999,0.5379999999999999,240.0,97.6,116.9,20.4,66.0,0.28,154.0,0.64,0.29,0.72,0.47,-1.78,0.23,0.6940000000000001,0.41,0.4529999999999999,0.77,0.67,0.4,0.59,0.14,0.16,0.3,27.1,5.9,1.1,-0.3,4.8,0.4,3.48,1.18,0.75,-0.18,2.14,0.44,0.41,94.5,0.26,84.7,0.08,88.8,0.09,80.6,0.1169999999999999,86.1,0.04,86.9,40.9,1.0,2.1,5.3,40000000
Adam Duvall,BOS,92.0,320.0,353.0,79.0,32.0,24.0,2.0,21.0,45.0,58.0,22.0,1.0,110.0,6.0,5.0,0.0,0.0,4.0,0.0,0.25,0.06,0.31,0.2,0.3,0.53,0.83,0.28,5.3,0.3,0.5,2.2,0.3,52.0,8.5,0.35,116.0,0.36,0.23,0.21,0.5670000000000001,0.17,0.17,3.0,0.07,0.0,0.0,0.59,0.26,0.15,0.2,0.45,0.35,215.0,88.8,110.0,28.9,28.0,0.13,84.0,0.39,0.21,0.44,0.31,0.46,0.3779999999999999,0.64,0.48,0.6,0.82,0.72,0.4,0.62,0.1369999999999999,0.18,0.32,2.8,1.3,2.6,-0.3,3.7,-1.3,0.44,0.36,3.18,-0.22,3.66,-3.92,0.4679999999999999,94.2,0.28,84.9,0.06,89.2,0.1,80.4,0.08,85.0,0.03,85.1,6.6,3.0,-2.2,1.9,7500000
Adam Frazier,BAL,141.0,412.0,455.0,99.0,63.0,21.0,2.0,13.0,59.0,60.0,32.0,0.0,68.0,4.0,2.0,4.0,4.0,11.0,4.0,0.24,0.07,0.15,0.47,0.3,0.4,0.7,0.16,5.5,0.26,1.1,1.3,-0.3,49.0,-6.0,0.3,93.0,0.99,0.27,0.37,0.37,0.09,0.1,5.0,0.04,1.0,0.2,0.39,0.351,0.26,0.17,0.59,0.24,351.0,85.7,106.7,15.2,11.0,0.03,80.0,0.23,0.26,0.36,0.3,1.62,0.32,0.6759999999999999,0.48,0.6659999999999999,0.91,0.82,0.4429999999999999,0.5870000000000001,0.09,0.178,0.26,4.7,-5.5,-2.2,1.3,-3.8,1.6,0.52,-1.69,-1.34,1.05,-2.02,3.01,0.51,94.1,0.19,85.1,0.1,89.0,0.07,80.0,0.11,86.6,0.03,86.0,-3.8,2.1,-12.0,0.3,8000000
Adley Rutschman,BAL,154.0,588.0,687.0,163.0,111.0,31.0,1.0,20.0,84.0,80.0,92.0,6.0,101.0,2.0,5.0,0.0,14.0,1.0,2.0,0.28,0.13,0.15,0.91,0.37,0.44,0.81,0.16,1.8,0.3,0.3,-1.1,-2.2,103.0,19.0,0.35,127.0,1.22,0.2319999999999999,0.42,0.346,0.08,0.118,14.0,0.07,0.0,0.0,0.38,0.3229999999999999,0.29,0.16,0.54,0.3,492.0,88.4,111.1,12.6,37.0,0.08,189.0,0.38,0.29,0.47,0.37,0.66,0.27,0.62,0.41,0.7709999999999999,0.92,0.86,0.4,0.56,0.0559999999999999,0.2,0.26,14.0,-0.2,-1.3,-0.1,3.5,3.1,1.03,-0.04,-0.62,-0.03,0.78,3.24,0.47,94.2,0.18,84.8,0.07,89.0,0.09,80.0,0.16,86.0,0.03,86.7,22.3,-3.0,5.1,5.1,733900
Akil Baddoo,DET,112.0,312.0,357.0,68.0,43.0,13.0,1.0,11.0,40.0,34.0,42.0,2.0,89.0,0.0,1.0,2.0,4.0,14.0,3.0,0.22,0.118,0.25,0.47,0.31,0.37,0.68,0.15,5.3,0.27,1.5,0.5,0.9,38.0,-5.7,0.3,88.0,1.21,0.16,0.46,0.38,0.09,0.13,8.0,0.08,1.0,0.3329999999999999,0.39,0.36,0.26,0.186,0.52,0.29,226.0,88.1,111.7,10.8,14.0,0.06,82.0,0.36,0.22,0.37,0.3,0.54,0.291,0.6990000000000001,0.4629999999999999,0.57,0.89,0.7759999999999999,0.42,0.57,0.104,0.15,0.25,-3.5,-0.4,-1.9,-1.6,1.6,0.1,-0.53,-0.16,-1.66,-1.25,0.67,0.25,0.471,94.5,0.17,84.8,0.08,89.5,0.09,78.8,0.1669999999999999,85.9,0.02,87.5,-5.1,2.9,4.2,1.0,721300
Alan Trejo,COL,83.0,207.0,227.0,48.0,33.0,11.0,0.0,4.0,24.0,26.0,16.0,0.0,51.0,1.0,2.0,1.0,3.0,5.0,1.0,0.23,0.07,0.23,0.31,0.29,0.34,0.63,0.11,4.3,0.29,-0.3,0.6,0.2,20.0,-7.7,0.28,56.0,1.21,0.26,0.41,0.3379999999999999,0.08,0.08,6.0,0.09,1.0,0.5,0.472,0.31,0.22,0.16,0.58,0.26,159.0,85.5,104.2,14.6,7.0,0.044,36.0,0.23,0.23,0.33,0.28,0.05,0.33,0.72,0.5,0.6829999999999999,0.87,0.8,0.43,0.61,0.1,0.15,0.246,-6.0,2.2,-0.7,1.0,-2.3,-0.5,-1.49,0.99,-0.95,2.0,-2.06,-3.99,0.46,93.0,0.26,84.7,0.09,88.3,0.0579999999999999,79.2,0.13,84.6,0.0139999999999999,85.9,-12.3,0.5,1.0,-0.2,722000
Alec Burleson,STL,107.0,315.0,347.0,77.0,48.0,20.0,1.0,8.0,34.0,36.0,23.0,0.0,45.0,3.0,2.0,1.0,13.0,3.0,1.0,0.24,0.07,0.13,0.51,0.3,0.39,0.69,0.15,3.4,0.26,-2.6,-1.7,-0.4,37.0,-5.2,0.3,89.0,1.12,0.22,0.412,0.367,0.07,0.08,3.0,0.027,4.0,0.67,0.3879999999999999,0.352,0.26,0.143,0.55,0.31,276.0,89.9,110.6,12.4,16.0,0.0579999999999999,110.0,0.3989999999999999,0.27,0.43,0.33,-1.18,0.37,0.72,0.52,0.75,0.911,0.85,0.416,0.62,0.08,0.144,0.2239999999999999,0.9,-5.5,0.2,1.4,-6.7,1.5,0.17,-2.22,0.19,0.93,-3.55,6.38,0.42,93.6,0.2019999999999999,84.6,0.09,89.3,0.13,80.3,0.15,86.4,0.02,86.6,-4.8,-4.7,-5.9,-0.9,721450
Alejandro Kirk,TOR,123.0,372.0,422.0,93.0,69.0,16.0,0.0,8.0,34.0,43.0,42.0,1.0,45.0,6.0,2.0,0.0,21.0,0.0,0.0,0.25,0.1,0.11,0.93,0.33,0.36,0.69,0.11,0.8,0.27,-6.0,-3.4,-0.9,48.0,-3.6,0.31,96.0,1.67,0.2,0.5,0.3,0.08,0.08,10.0,0.06,0.0,0.0,0.33,0.39,0.2769999999999999,0.1669999999999999,0.53,0.31,329.0,87.6,108.3,6.3,17.0,0.052,126.0,0.3829999999999999,0.25,0.38,0.32,-1.34,0.29,0.6,0.416,0.8029999999999999,0.94,0.88,0.421,0.63,0.05,0.22,0.27,-5.4,-2.1,-2.3,-2.3,1.3,0.2,-0.63,-0.54,-1.55,-1.55,0.9,0.54,0.5,93.9,0.2269999999999999,84.7,0.09,88.7,0.09,79.6,0.08,83.8,0.02,85.6,-2.0,-10.3,9.6,1.6,767300
Alek Thomas,ARI,125.0,374.0,402.0,86.0,55.0,17.0,5.0,9.0,51.0,39.0,19.0,1.0,86.0,4.0,3.0,2.0,5.0,9.0,1.0,0.23,0.05,0.21,0.22,0.27,0.37,0.65,0.14,7.2,0.27,2.6,0.3,0.8,36.0,-13.4,0.28,71.0,2.18,0.19,0.56,0.26,0.1,0.12,10.0,0.06,0.0,0.0,0.41,0.37,0.23,0.16,0.4679999999999999,0.38,293.0,88.9,110.9,2.2,15.0,0.05,120.0,0.41,0.25,0.37,0.29,0.78,0.36,0.66,0.49,0.59,0.89,0.77,0.437,0.6,0.11,0.178,0.29,-4.3,-2.3,6.6,-5.7,-2.7,0.2,-0.67,-0.82,5.67,-2.73,-1.28,0.67,0.43,93.7,0.19,84.1,0.08,89.9,0.14,79.3,0.14,86.3,0.02,86.4,-14.2,3.7,0.5,0.5,735200
